39 0
1 	0
0.993181 	-0.00099
0.972909 	-0.00387
0.939737 	-0.00843
0.89457 	-0.01434
0.838641 	-0.02123
0.773474 	-0.02867
0.700848 	-0.03625
0.622743 	-0.04353
0.54129 	-0.05005
0.45871 	-0.0553
0.377257 	-0.05877
0.299152 	-0.06001
0.226526 	-0.05865
0.161359 	-0.05454
0.10543 	-0.04772
0.060263 	-0.03845
0.027091 	-0.02712
0.006819 	-0.01419
0 	0
0.006819 	0.014185
0.027091 	0.027121
0.060263 	0.038445
0.10543 	0.047719
0.161359 	0.054541
0.226526 	0.058654
0.299152 	0.060007
0.377257 	0.05877
0.45871 	0.055295
0.54129 	0.050047
0.622743 	0.043533
0.700848 	0.036253
0.773474 	0.028672
0.838641 	0.021228
0.89457 	0.014344
0.939737 	0.00843
0.972909 	0.00387
0.993181 	0.000987
1 	0
